コア数	早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
16	0	99999999999999999	0	99999999999999999	14.220563847429517
15	0	99999999999999999	0	99999999999999999	15.168601437258152
14	0	99999999999999999	0	99999999999999999	16.252072968490875
13	0	99999999999999999	0	99999999999999999	17.50223242760556
12	0	99999999999999999	0	99999999999999999	18.96075179657269
11	0	99999999999999999	0	99999999999999999	20.684456505352024
10	0	99999999999999999	0	99999999999999999	22.752902155887227
9	0	99999999999999999	0	99999999999999999	25.281002395430253
8	0	99999999999999999	0	99999999999999999	28.441127694859034
7	0	99999999999999999	0	99999999999999999	32.504145936981764
6	0	99999999999999999	0	99999999999999999	37.92150359314539
5	0	99999999999999999	0	99999999999999999	45.505804311774455
4	0	99999999999999999	0	99999999999999999	56.6006600660066
3	0	99999999999999999	0	99999999999999999	73.76344086021506
2	0	99999999999999999	1	304	93.32344213649851
1	1	188	1	263	100.0
