コア数	早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
16	0	99999999999999999	0	99999999999999999	14.220563847429519
15	0	99999999999999999	0	99999999999999999	15.168601437258154
14	0	99999999999999999	0	99999999999999999	16.25207296849088
13	0	99999999999999999	0	99999999999999999	17.502232427605563
12	0	99999999999999999	0	99999999999999999	18.96075179657269
11	0	99999999999999999	0	99999999999999999	20.684456505352028
10	0	99999999999999999	0	99999999999999999	22.75290215588723
9	0	99999999999999999	0	99999999999999999	25.281002395430257
8	0	99999999999999999	0	99999999999999999	28.441127694859038
7	0	99999999999999999	0	99999999999999999	32.50414593698176
6	0	99999999999999999	0	99999999999999999	37.92150359314538
5	0	99999999999999999	0	99999999999999999	45.50580431177447
4	0	99999999999999999	0	99999999999999999	56.507413509060946
3	0	99999999999999999	0	99999999999999999	73.82113821138212
2	1	433	1	660	97.34042553191489
1	1	266	1	284	100.0
