早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
0	99999999999999999	0	99999999999999999	87.92217327459619
0	99999999999999999	1	153	84.22029702970298
0	99999999999999999	0	99999999999999999	80.87591240875912
0	99999999999999999	0	99999999999999999	85.35548686244205
0	99999999999999999	0	99999999999999999	87.95888399412628
0	99999999999999999	1	135	86.579754601227
1	177	1	269	88.88888888888889
0	99999999999999999	1	318	82.84883720930233
0	99999999999999999	1	324	89.4092219020173
0	99999999999999999	1	420	84.08088235294117
0	99999999999999999	0	99999999999999999	85.93508500772798
0	99999999999999999	1	422	82.11451247165533
0	99999999999999999	1	192	82.48847926267281
1	458	1	462	82.89877300613497
1	226	1	243	89.76851851851852
1	438	1	540	87.68817204301077
0	99999999999999999	1	140	83.53293413173652
0	99999999999999999	1	343	82.36607142857143
0	99999999999999999	0	99999999999999999	83.43949044585987
0	99999999999999999	1	129	85.60855263157895
1	202	1	206	81.57894736842105
0	99999999999999999	0	99999999999999999	83.51239669421487
0	99999999999999999	0	99999999999999999	87.92466765140324
0	99999999999999999	1	540	87.32394366197184
0	99999999999999999	1	360	84.36657681940702
1	572	1	576	88.68852459016394
0	99999999999999999	0	99999999999999999	82.98929663608564
0	99999999999999999	1	540	81.0646186440678
0	99999999999999999	1	201	85.04464285714285
1	187	1	191	88.98401826484017
1	239	1	245	81.16935483870968
0	99999999999999999	1	194	81.0576923076923
0	99999999999999999	0	99999999999999999	84.3557098765432
1	308	1	312	89.49548192771084
0	99999999999999999	0	99999999999999999	85.55640243902441
0	99999999999999999	0	99999999999999999	80.07751937984496
0	99999999999999999	0	99999999999999999	83.98499210110585
0	99999999999999999	0	99999999999999999	81.49300155520996
0	99999999999999999	1	315	80.66465256797584
1	149	1	162	80.22727272727273
1	122	1	137	89.32926829268293
0	99999999999999999	0	99999999999999999	81.65289256198346
0	99999999999999999	0	99999999999999999	80.62700964630226
0	99999999999999999	1	543	85.03954305799648
0	99999999999999999	1	134	86.5566037735849
0	99999999999999999	1	360	89.1304347826087
1	261	1	360	87.5
0	99999999999999999	1	149	83.31151832460733
1	165	1	196	88.13559322033899
0	99999999999999999	1	420	83.9389534883721
1	553	1	568	83.19805194805193
0	99999999999999999	0	99999999999999999	86.60322108345535
0	99999999999999999	1	360	89.93399339933993
0	99999999999999999	1	360	88.74643874643876
0	99999999999999999	0	99999999999999999	80.66561014263075
0	99999999999999999	0	99999999999999999	81.30182421227198
0	99999999999999999	0	99999999999999999	83.64600326264272
0	99999999999999999	1	360	88.84099616858238
0	99999999999999999	1	360	88.671875
1	232	1	236	85.4020979020979
0	99999999999999999	0	99999999999999999	85.77724358974359
0	99999999999999999	0	99999999999999999	87.93789808917197
1	481	1	485	84.7953216374269
0	99999999999999999	1	187	88.27380952380952
0	99999999999999999	1	138	82.37704918032787
0	99999999999999999	0	99999999999999999	82.19584569732937
0	99999999999999999	1	540	82.0754716981132
0	99999999999999999	1	420	83.5140306122449
0	99999999999999999	1	204	88.4572072072072
0	99999999999999999	1	248	85.83333333333333
1	545	0	99999999999999999	89.08914728682171
0	99999999999999999	1	125	86.74999999999999
0	99999999999999999	0	99999999999999999	81.88816855753646
0	99999999999999999	0	99999999999999999	83.98373983739837
1	645	1	649	86.63091715976331
0	99999999999999999	1	183	84.85991379310346
0	99999999999999999	1	239	83.02675585284281
0	99999999999999999	0	99999999999999999	85.7772435897436
0	99999999999999999	1	194	87.60917030567684
1	218	1	360	87.68587360594795
0	99999999999999999	1	173	86.35321100917432
0	99999999999999999	0	99999999999999999	81.61654135338347
0	99999999999999999	1	560	80.66835871404399
0	99999999999999999	1	600	84.31372549019608
1	262	1	360	88.90675241157557
0	99999999999999999	0	99999999999999999	83.03425774877651
0	99999999999999999	0	99999999999999999	82.21311475409836
0	99999999999999999	1	306	87.04407294832826
0	99999999999999999	1	142	86.29261363636364
0	99999999999999999	1	420	87.53263707571801
1	185	1	191	80.37109375
0	99999999999999999	0	99999999999999999	84.92706645056725
0	99999999999999999	0	99999999999999999	81.70144462279293
1	446	1	540	86.91060903732811
0	99999999999999999	1	183	88.17401960784314
1	451	1	455	81.92708333333333
0	99999999999999999	1	360	82.63636363636363
0	99999999999999999	1	360	81.90909090909092
0	99999999999999999	1	360	86.50684931506848
0	99999999999999999	0	99999999999999999	80.05110062893081
1	278	1	282	86.84853420195438
1	369	1	373	85.23299748110831
1	448	1	452	81.8516699410609
0	99999999999999999	1	199	80.73308270676692
1	191	1	195	89.85849056603776
0	99999999999999999	1	161	85.06097560975608
0	99999999999999999	1	613	84.04968454258675
0	99999999999999999	1	292	87.97318611987383
1	159	1	163	83.64928909952607
0	99999999999999999	1	372	89.96835443037976
0	99999999999999999	1	360	83.15018315018314
0	99999999999999999	0	99999999999999999	80.62700964630224
0	99999999999999999	1	360	82.21947194719472
0	99999999999999999	1	360	82.08333333333334
1	190	1	194	85.9090909090909
0	99999999999999999	1	660	89.99189627228526
0	99999999999999999	1	244	84.32904411764706
0	99999999999999999	1	126	81.67613636363636
1	245	1	250	80.37974683544304
0	99999999999999999	1	156	86.63793103448276
1	180	1	198	83.3167330677291
1	682	1	686	83.66197183098592
0	99999999999999999	1	242	89.75563909774436
0	99999999999999999	1	360	88.68865030674846
1	148	1	152	82.69704433497537
1	273	1	360	86.86305732484077
0	99999999999999999	1	182	88.08139534883722
0	99999999999999999	0	99999999999999999	84.5873786407767
0	99999999999999999	0	99999999999999999	87.98652694610777
1	368	1	372	80.23182957393483
1	359	1	480	81.48379052369079
1	276	1	299	87.13556851311954
0	99999999999999999	1	145	80.05181347150258
0	99999999999999999	1	432	88.50308641975309
0	99999999999999999	0	99999999999999999	85.12096774193549
0	99999999999999999	0	99999999999999999	84.53947368421053
0	99999999999999999	1	132	88.30645161290322
1	362	1	366	89.3542199488491
0	99999999999999999	1	360	84.48844884488449
0	99999999999999999	1	163	87.16755319148935
1	186	1	190	87.91666666666666
0	99999999999999999	1	411	82.85876993166286
0	99999999999999999	1	212	88.4937238493724
0	99999999999999999	0	99999999999999999	87.07592891760903
1	328	1	332	85.39855072463769
0	99999999999999999	1	420	82.10227272727272
1	232	1	360	89.1826923076923
0	99999999999999999	0	99999999999999999	81.07199367088607
1	458	1	462	87.31884057971016
1	785	1	798	89.5
0	99999999999999999	1	427	87.19574036511156
0	99999999999999999	1	249	84.25751879699249
0	99999999999999999	1	446	84.21442687747034
0	99999999999999999	0	99999999999999999	85.12461059190032
0	99999999999999999	1	133	80.76923076923077
0	99999999999999999	1	480	81.43115942028986
0	99999999999999999	0	99999999999999999	80.28052805280528
0	99999999999999999	0	99999999999999999	86.00323624595471
0	99999999999999999	0	99999999999999999	88.56466876971609
0	99999999999999999	1	360	86.09215017064847
1	420	1	446	84.62321792260691
0	99999999999999999	0	99999999999999999	87.72388059701493
1	218	1	222	89.25
1	678	1	692	84.14879356568365
1	511	1	515	88.04245283018868
0	99999999999999999	1	180	81.6017316017316
0	99999999999999999	1	289	85.6638418079096
0	99999999999999999	0	99999999999999999	81.94444444444444
0	99999999999999999	0	99999999999999999	82.6028963414634
0	99999999999999999	1	480	84.96420047732697
0	99999999999999999	1	185	88.56132075471699
0	99999999999999999	1	128	88.12893081761007
0	99999999999999999	1	133	82.61173184357541
0	99999999999999999	1	488	86.94282945736434
0	99999999999999999	1	363	86.00649350649353
0	99999999999999999	1	131	84.04088050314465
0	99999999999999999	0	99999999999999999	80.86319218241043
0	99999999999999999	1	360	84.76307189542482
0	99999999999999999	0	99999999999999999	83.51239669421489
0	99999999999999999	0	99999999999999999	84.8111658456486
0	99999999999999999	0	99999999999999999	80.32659409020218
0	99999999999999999	0	99999999999999999	83.7826797385621
0	99999999999999999	1	360	84.63636363636363
0	99999999999999999	0	99999999999999999	87.07592891760906
0	99999999999999999	1	160	88.52459016393443
0	99999999999999999	0	99999999999999999	84.25324675324676
0	99999999999999999	0	99999999999999999	85.5674342105263
1	193	1	213	86.96808510638299
0	99999999999999999	0	99999999999999999	86.68650793650795
0	99999999999999999	1	632	87.92372881355932
0	99999999999999999	1	250	82.7323717948718
1	360	1	420	89.96519721577727
0	99999999999999999	1	150	83.22704081632654
0	99999999999999999	1	242	84.72222222222223
1	129	1	139	89.48170731707316
0	99999999999999999	0	99999999999999999	82.36245954692556
0	99999999999999999	1	271	88.92241379310346
0	99999999999999999	0	99999999999999999	87.78757668711657
0	99999999999999999	0	99999999999999999	84.40902021772939
0	99999999999999999	0	99999999999999999	86.89781021897812
0	99999999999999999	0	99999999999999999	84.05737704918033
1	249	1	360	84.79241877256318
0	99999999999999999	1	480	83.67283950617283
0	99999999999999999	1	360	89.96138996138997
0	99999999999999999	1	600	84.95722433460075
0	99999999999999999	1	186	83.64928909952607
0	99999999999999999	1	254	81.70620437956205
0	99999999999999999	1	360	88.61524163568772
0	99999999999999999	1	246	85.35583941605839
0	99999999999999999	1	123	84.12162162162161
0	99999999999999999	1	204	80.15799256505575
0	99999999999999999	0	99999999999999999	83.04416403785488
0	99999999999999999	0	99999999999999999	80.02411575562702
0	99999999999999999	0	99999999999999999	83.9563862928349
1	358	1	480	86.04218362282877
0	99999999999999999	1	480	82.74096385542168
0	99999999999999999	1	360	80.6423611111111
0	99999999999999999	0	99999999999999999	89.55331412103747
0	99999999999999999	1	445	89.00537634408602
1	371	1	375	88.26530612244898
0	99999999999999999	0	99999999999999999	82.0211038961039
0	99999999999999999	1	360	86.07011070110701
0	99999999999999999	1	339	85.4399441340782
0	99999999999999999	0	99999999999999999	83.22632423756019
0	99999999999999999	0	99999999999999999	86.27567140600317
0	99999999999999999	0	99999999999999999	85.69277108433735
0	99999999999999999	1	267	87.3046875
0	99999999999999999	1	265	87.58650519031141
0	99999999999999999	0	99999999999999999	82.03957382039574
0	99999999999999999	0	99999999999999999	80.1482701812191
0	99999999999999999	1	360	86.62207357859532
0	99999999999999999	1	660	89.35624012638232
1	126	1	147	80.875
0	99999999999999999	1	253	84.74729241877257
1	160	1	164	87.56377551020408
0	99999999999999999	0	99999999999999999	84.02668759811617
0	99999999999999999	0	99999999999999999	88.25115562403698
0	99999999999999999	1	420	88.70967741935485
0	99999999999999999	0	99999999999999999	84.39542483660131
0	99999999999999999	0	99999999999999999	85.14227642276424
0	99999999999999999	0	99999999999999999	82.69389438943894
0	99999999999999999	1	235	82.91505791505793
0	99999999999999999	1	191	87.26851851851852
1	162	1	189	84.65665236051503
0	99999999999999999	0	99999999999999999	82.4400299850075
1	239	1	360	88.78816793893131
0	99999999999999999	1	360	80.35055350553506
0	99999999999999999	1	246	86.72445255474453
0	99999999999999999	1	480	83.58585858585859
0	99999999999999999	1	291	89.30817610062893
0	99999999999999999	1	480	83.48214285714286
0	99999999999999999	0	99999999999999999	86.46825396825396
1	377	1	480	89.89684466019419
0	99999999999999999	1	360	89.85260770975057
0	99999999999999999	0	99999999999999999	80.41074249605055
0	99999999999999999	0	99999999999999999	81.27769571639585
0	99999999999999999	1	455	88.67773019271948
1	575	1	579	85.89285714285715
1	216	1	220	89.94897959183675
1	372	1	376	82.8125
1	323	1	327	83.87323943661973
0	99999999999999999	0	99999999999999999	84.01702786377707
0	99999999999999999	1	360	82.03703703703704
1	229	1	312	88.64583333333333
0	99999999999999999	1	570	87.60521885521885
0	99999999999999999	0	99999999999999999	83.57963875205255
0	99999999999999999	0	99999999999999999	81.86274509803921
0	99999999999999999	1	660	88.2469244288225
1	242	1	246	87.02586206896551
0	99999999999999999	1	131	80.9691011235955
0	99999999999999999	0	99999999999999999	81.29713423831072
0	99999999999999999	0	99999999999999999	86.19873817034701
1	600	1	604	87.26190476190476
1	235	1	360	87.88927335640139
0	99999999999999999	1	360	86.45833333333334
0	99999999999999999	1	360	88.41743119266056
1	589	1	593	80.56672025723473
1	232	1	360	87.46019108280257
0	99999999999999999	1	147	86.24260355029587
0	99999999999999999	0	99999999999999999	80.45171339563863
0	99999999999999999	0	99999999999999999	83.71710526315789
0	99999999999999999	1	362	85.70165094339622
0	99999999999999999	0	99999999999999999	86.61003236245955
1	508	1	600	84.2250922509225
0	99999999999999999	0	99999999999999999	82.08469055374593
0	99999999999999999	1	360	83.4274193548387
1	453	1	462	83.85019083969466
0	99999999999999999	1	164	89.68253968253968
0	99999999999999999	1	541	85.98484848484848
0	99999999999999999	0	99999999999999999	84.6825396825397
0	99999999999999999	0	99999999999999999	89.33070866141732
1	498	1	502	82.66509433962264
0	99999999999999999	1	156	89.50276243093923
0	99999999999999999	1	360	88.69257950530034
0	99999999999999999	1	420	83.45323741007194
1	231	1	235	85.01805054151625
0	99999999999999999	1	383	87.2555012224939
0	99999999999999999	1	227	89.71774193548389
1	341	1	345	85.70936639118457
0	99999999999999999	0	99999999999999999	81.33169934640523
1	185	1	189	86.49289099526067
0	99999999999999999	1	190	89.74056603773585
0	99999999999999999	0	99999999999999999	88.11074918566776
0	99999999999999999	0	99999999999999999	82.001647446458
1	446	1	471	86.33776091081594
0	99999999999999999	0	99999999999999999	80.0580431177446
0	99999999999999999	1	242	80.15799256505576
0	99999999999999999	1	480	88.10827250608273
0	99999999999999999	1	360	88.56177606177604
0	99999999999999999	0	99999999999999999	84.82567353407289
1	349	1	420	89.32619647355162
