早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
1	269	1	306	95.42682926829269
1	193	1	208	91.20171673819742
1	276	1	330	94.3019943019943
1	230	1	391	94.77163461538461
1	143	1	158	91.45833333333334
1	207	1	310	94.0828402366864
1	379	1	423	93.87697516930024
1	436	1	478	94.1235059760956
1	251	1	420	90.31155015197567
1	245	1	272	93.95833333333333
1	371	1	375	94.23316708229426
1	768	1	772	97.19611528822055
1	280	1	284	94.93569131832797
0	99999999999999999	0	99999999999999999	91.77877428998505
1	432	1	508	93.71482176360226
1	356	1	402	92.07110609480813
1	300	1	444	97.59615384615384
1	390	1	429	96.2527352297593
1	194	1	208	92.37668161434978
1	367	1	421	95.40358744394618
1	341	1	346	95.60626702997274
1	155	1	778	98.32506203473946
1	270	1	331	96.34831460674157
1	117	1	820	98.47122302158273
1	384	1	407	93.92361111111111
0	99999999999999999	1	310	92.82477341389728
1	300	1	304	92.13102409638554
1	126	1	718	97.20708446866486
1	260	1	264	95.58566433566435
0	99999999999999999	1	258	92.7491103202847
1	388	1	413	91.70480549199085
1	416	1	649	95.14307228915662
1	141	1	207	90.96320346320347
1	419	1	448	96.34081196581197
0	99999999999999999	1	279	90.11627906976743
0	99999999999999999	1	142	95.19817073170732
0	99999999999999999	1	129	91.69642857142857
1	441	1	458	93.96997929606626
1	220	1	259	95.63636363636364
1	291	1	563	96.17174280879864
1	1457	1	1461	98.69087837837837
1	228	1	272	92.86912751677852
1	414	1	514	94.21641791044776
1	470	1	485	96.73913043478261
1	550	1	642	93.9179104477612
1	131	1	161	94.36141304347827
1	255	1	272	92.95302013422818
1	111	1	139	92.56134969325154
1	209	1	213	91.13924050632912
1	296	1	333	92.59129213483146
1	228	1	277	94.26567656765678
1	363	1	378	90.27093596059113
0	99999999999999999	1	291	96.46825396825396
0	99999999999999999	1	134	92.265625
0	99999999999999999	1	308	94.05864197530865
1	430	0	99999999999999999	93.34795321637426
1	428	1	456	95.6236897274633
1	435	1	448	91.58704883227176
1	355	1	359	94.45169712793734
0	99999999999999999	1	185	91.00985221674878
1	168	1	172	92.7461139896373
1	1853	1	1877	99.04048370136698
0	99999999999999999	1	140	91.21212121212119
1	291	1	1384	98.91613361762616
1	306	1	329	91.3135593220339
1	426	1	558	92.15811965811966
1	497	1	527	90.09009009009009
1	315	1	332	93.88966480446926
1	320	1	344	96.10655737704919
1	134	1	279	96.00000000000001
1	200	1	449	96.64570230607966
1	458	1	462	96.6768916155419
1	549	1	697	94.40376569037659
1	496	1	752	95.60897435897436
1	712	1	746	93.58237547892719
1	258	1	271	90.94387755102039
1	180	1	284	96.29934210526316
0	99999999999999999	1	472	97.97979797979797
1	275	1	288	96.20607028753993
1	237	1	403	91.72535211267605
1	445	1	506	91.5352504638219
1	356	1	360	92.73026315789474
1	598	1	660	97.22627737226277
1	158	1	162	90.84224598930481
0	99999999999999999	1	331	95.09180790960451
1	1445	1	1464	98.8239247311828
1	467	0	99999999999999999	95.03846153846155
1	222	1	405	90.76206140350878
1	226	1	243	94.23431734317344
0	99999999999999999	1	202	92.8650442477876
1	328	1	372	94.8178391959799
1	170	1	174	91.39447236180905
0	99999999999999999	1	164	95.37037037037035
1	205	1	222	92.10526315789473
1	447	1	549	92.29094076655052
1	261	1	335	92.0774647887324
1	195	1	260	93.6625874125874
0	99999999999999999	1	347	95.96666666666667
1	337	1	438	96.2391774891775
1	275	1	389	96.65450121654503
1	780	1	794	98.45848595848597
1	341	1	345	94.375
1	301	1	305	95.65384615384616
1	351	1	396	91.49184149184148
1	503	1	742	97.39173228346456
1	559	1	771	97.19773299748111
1	582	1	609	94.80140186915888
1	321	1	345	93.58016304347827
1	195	1	220	90.16393442622952
1	200	1	439	96.12068965517241
1	305	1	343	91.17847411444143
1	224	1	438	94.87041036717063
1	249	1	277	93.03691275167785
0	99999999999999999	1	289	91.70673076923077
1	245	1	425	96.65730337078651
0	99999999999999999	1	313	93.95161290322581
1	414	1	428	92.4342105263158
1	220	1	432	95.88815789473684
1	496	1	550	97.2608695652174
1	691	1	695	94.72765363128494
0	99999999999999999	1	424	94.04362416107381
0	99999999999999999	1	250	92.31818181818181
1	466	1	495	96.36627906976744
1	459	1	754	98.61290322580646
0	99999999999999999	0	99999999999999999	90.54383116883116
0	99999999999999999	1	304	90.93655589123865
1	235	1	350	91.41246684350133
1	298	1	345	93.12330623306234
0	99999999999999999	1	202	94.53488372093024
1	645	1	673	97.49642346208871
1	808	1	818	98.61442193087008
1	367	1	371	91.97103274559194
0	99999999999999999	1	311	92.05223880597016
1	306	1	336	94.49035812672177
1	308	1	312	94.95481927710843
1	388	1	442	96.82835820895521
1	600	1	604	97.46031746031746
1	428	0	99999999999999999	90.81632653061224
1	318	1	323	92.28260869565219
0	99999999999999999	1	425	92.625284738041
0	99999999999999999	1	183	92.65776699029128
0	99999999999999999	1	182	91.88701923076924
1	251	1	277	93.87500000000001
1	424	1	458	97.1875
1	264	1	307	91.19402985074626
1	619	1	646	92.31054977711737
