早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
1	639	1	643	92.96171171171171
0	99999999999999999	1	420	95.79983922829581
1	359	1	363	95.40488431876605
1	282	1	286	91.73322683706071
0	99999999999999999	1	420	98.3125
0	99999999999999999	1	362	90.52267002518892
1	218	1	222	92.3780487804878
1	328	1	420	94.53124999999999
1	470	1	474	90.76190476190476
1	348	1	352	90.68364611260054
1	157	1	267	93.55670103092784
1	233	1	292	96.3474025974026
1	531	1	420	96.60773026315789
1	221	1	225	91.55138339920948
1	335	1	359	90.98307291666666
1	223	1	227	90.97782258064517
0	99999999999999999	1	378	93.0239898989899
1	245	1	256	94.6554770318021
1	195	1	328	94.25000000000001
1	341	1	349	95.84441489361703
1	522	1	526	97.27767695099818
1	3505	1	3525	99.01775727069352
0	99999999999999999	1	325	90.75
1	520	1	420	96.88524590163935
1	507	1	511	97.67225325884543
1	247	1	310	95.62125748502994
1	221	1	323	96.01293103448276
1	371	1	480	95.19617706237423
1	285	1	289	94.34335443037973
0	99999999999999999	1	289	93.59076433121021
1	260	1	264	92.76541095890411
0	99999999999999999	1	480	98.52880658436214
0	99999999999999999	1	420	96.0006082725061
0	99999999999999999	1	280	90.98837209302324
1	596	1	636	90.54744525547446
0	99999999999999999	1	193	92.20930232558139
1	450	1	454	95.95435684647303
1	354	1	420	95.0
0	99999999999999999	1	278	93.2046979865772
1	700	1	712	98.03523035230353
1	2120	1	2124	98.9704513727315
1	243	1	264	93.40753424657535
1	3156	1	3650	99.55089820359282
1	326	1	420	93.1
1	208	1	256	91.39784946236558
0	99999999999999999	1	420	96.10091743119267
0	99999999999999999	1	420	97.30992268041237
0	99999999999999999	1	143	92.62048192771084
1	249	1	480	91.7864476386037
1	281	1	285	90.57570977917982
0	99999999999999999	1	420	96.27563329312424
0	99999999999999999	1	262	91.07773851590107
1	1393	1	420	98.51941747572815
1	707	1	720	90.625
1	317	1	321	90.97421203438397
1	177	1	322	92.64492753623189
0	99999999999999999	1	230	91.845703125
0	99999999999999999	1	276	93.29166666666666
1	265	1	384	95.02457002457001
1	165	1	218	94.32291666666669
1	669	1	682	91.88659058487875
1	181	1	185	92.63613861386139
0	99999999999999999	1	211	90.3723404255319
1	595	1	599	95.53285256410257
0	99999999999999999	1	434	94.50959488272922
1	219	1	436	97.11745689655173
1	380	1	384	96.85185185185186
1	264	1	420	96.6116173120729
1	333	1	341	95.73170731707316
1	297	1	420	93.64697802197801
0	99999999999999999	1	163	92.17105263157895
0	99999999999999999	1	420	97.84361851332397
1	740	1	420	97.70833333333333
0	99999999999999999	0	99999999999999999	91.31663974151857
1	412	1	461	92.89014373716633
0	99999999999999999	1	480	91.71487603305786
1	342	1	346	95.14824797843666
0	99999999999999999	1	321	94.78260869565217
1	338	1	420	91.82213930348257
0	99999999999999999	1	420	97.17023172905527
0	99999999999999999	1	379	94.57605985037407
0	99999999999999999	1	148	91.3074712643678
1	298	1	420	94.12607449856735
0	99999999999999999	1	166	94.30555555555557
1	773	1	420	98.72010463378176
0	99999999999999999	1	438	92.12365591397851
1	264	1	373	98.52362204724409
0	99999999999999999	1	420	97.21948818897637
1	1186	1	1190	98.50164203612478
1	287	1	420	91.78082191780821
1	200	1	204	91.86681222707422
0	99999999999999999	1	420	98.0486173059768
1	1560	1	2865	99.60207612456747
0	99999999999999999	1	621	92.7825077399381
0	99999999999999999	1	233	90.34514925373134
1	138	1	206	92.97210300429185
0	99999999999999999	1	717	95.91216216216216
1	407	1	620	98.88888888888889
1	249	1	263	90.48442906574394
1	265	1	302	95.87227414330218
0	99999999999999999	1	420	96.96856287425148
1	5769	1	420	99.41292423723003
1	149	1	165	91.77461139896373
0	99999999999999999	1	322	91.28676470588235
1	224	1	228	92.57968127490038
1	192	1	319	95.20348837209302
1	286	1	351	95.87874659400545
1	132	1	253	94.59821428571429
0	99999999999999999	1	420	97.01409495548963
1	2090	1	2630	99.48269375470278
1	339	1	343	93.25880758807588
1	182	1	210	93.21581196581198
0	99999999999999999	1	183	90.56490384615384
0	99999999999999999	1	193	91.64663461538461
0	99999999999999999	1	420	96.32009345794393
0	99999999999999999	1	398	92.84869976359339
1	405	1	662	97.95620437956204
1	335	1	339	90.62499999999999
0	99999999999999999	1	188	94.4047619047619
0	99999999999999999	1	420	98.33535108958836
1	1064	1	420	98.52310231023101
0	99999999999999999	0	99999999999999999	92.07119741100325
1	337	1	341	92.98780487804879
1	309	1	420	95.06909547738694
1	293	1	420	95.69160997732426
1	360	1	420	97.47899159663865
0	99999999999999999	1	420	99.57709824333116
1	378	1	382	92.14108910891089
1	447	1	451	95.38502109704642
1	317	1	420	95.83333333333331
1	310	1	410	96.83908045977012
0	99999999999999999	1	420	97.0075239398085
0	99999999999999999	1	420	98.47435897435899
0	99999999999999999	1	482	91.82405566600397
1	207	1	211	91.31799163179917
0	99999999999999999	1	269	91.62457912457911
1	427	1	420	95.78625235404897
1	1036	1	2962	99.64800536372779
1	2291	1	2295	99.43329015544042
0	99999999999999999	1	337	91.26381215469614
1	434	1	438	92.95356371490281
1	239	1	287	93.14903846153845
0	99999999999999999	1	226	91.1
0	99999999999999999	1	409	95.87182448036951
1	403	1	420	93.46973094170403
1	269	1	272	92.20890410958903
1	208	1	252	94.3794964028777
1	210	1	214	93.125
0	99999999999999999	1	258	93.6832740213523
0	99999999999999999	1	693	97.40532959326787
1	244	1	248	94.35185185185186
